Город;Субъект РФ;с.ш.;в.д.;Население;
Пересвет;Московская;56.4164816;38.173683;11752;
Переславль-Залесский;Ярославская;56.747048;38.8902603;37738;
Пермь;Пермский;58.0091683;56.226967;1034002;
Пестово;Новгородская;58.6028516;35.799236;14032;
ПетровВал;Волгоградская;50.1391313;45.206796;12526;
Петровск;Саратовская;52.3144031;45.388255;26319;
Петровск-Забайкальский;Забайкальский;51.2589417;108.833;15015;
Петрозаводск;Карелия;61.7781617;34.364039;234897;
Петропавловск-Камчатский;Камчатский;53.0583997;158.63207;164900;
Петухово;Курганская;55.0711374;67.89705;8502;
Петушки;Владимирская;55.9313985;39.45747;13317;
Печора;Коми;65.147559;57.2279695;35254;
Печоры;Псковская;57.8131437;27.611759;10247;
Пикалёво;Ленинградская;59.5131051;34.177274;20388;
Пионерский;Калининградская;54.9496869;20.22451;12794;
Питкяранта;Карелия;61.574086;31.4751132;8340;
Плавск;Тульская;53.706331;37.2919917;16893;
Пласт;Челябинская;54.363831;60.8075067;18379;
Плёс;Ивановская;57.4604955;41.512271;1896;
Поворино;Воронежская;51.1990188;42.244042;16417;
Подольск;Московская;55.4312453;37.545764;314934;
Подпорожье;Ленинградская;60.9128063;34.156688;16123;
Покачи;Ханты-Мансийский;61.741447;75.5905098;16040;
Покров;Владимирская;55.9181573;39.178555;17747;
Покровск;Якутия;48.282193;37.1847804;69154;
Полевской;Свердловская;56.4958375;60.236533;55182;
Полесск;Калининградская;54.8605417;21.104813;6926;
Полысаево;Кемеровская;54.6054983;86.280777;25631;
ПолярныеЗори;Мурманская;67.3744013;32.488945;14146;
Полярный;Мурманская;69.1986734;33.439448;12293;
Поронайск;Сахалинская;49.2213887;143.10017;16026;
Порхов;Псковская;57.7588077;29.558488;7309;
Похвистнево;Самарская;53.6482058;52.122954;27333;
Почеп;Брянская;52.9291372;33.454055;14991;
Починок;Смоленская;54.4053326;32.439638;7575;
Пошехонье;Ярославская;58.5030781;39.119378;5150;
Правдинск;Калининградская;54.4460011;21.016261;3986;
Приволжск;Ивановская;57.3793594;41.283027;14332;
Приморск;Калининградская;54.7339608;20.003538;1436;
Приморск;Ленинградская;60.36627;28.6061221;6537;
Приморско-Ахтарск;Краснодарский;46.0444267;38.166107;31087;
Приозерск;Ленинградская;61.0385976;30.129652;18777;
Прокопьевск;Кемеровская;53.8740916;86.646173;177819;
Пролетарск;Ростовская;46.6995285;41.728261;18983;
Протвино;Московская;54.8756167;37.219371;37735;
Прохладный;Кабардино-Балкария;43.7603313;44.010769;59938;
Псков;Псковская;57.8166994;28.334473;193082;
Пугачёв;Саратовская;52.0102774;48.810435;40127;
Пудож;Карелия;61.8042376;36.526047;7356;
Пустошка;Псковская;56.3352066;29.368932;4070;
Пучеж;Ивановская;56.9820664;43.168359;6879;
Пушкино;Московская;56.0089842;37.852861;110868;
Пущино;Московская;54.8323855;37.621055;19578;
Пыталово;Псковская;57.063557;27.9195002;5263;
Пыть-Ях;Ханты-Мансийский;60.7273587;72.82119;40180;
Пятигорск;Ставропольский;44.0498933;43.039636;146473;
Радужный;Владимирская;55.9955698;40.329555;17569;
Радужный;Ханты-Мансийский;62.103942;77.4753989;43577;
Райчихинск;Амурская;49.7974025;129.40291;15797;
Раменское;Московская;55.5668166;38.225645;114537;
Рассказово;Тамбовская;52.6586616;41.881486;47644;
Ревда;Свердловская;56.8188497;59.903639;60200;
Реж;Свердловская;57.3720826;61.379385;36585;
Реутов;Московская;55.7617579;37.861302;113871;
Ржев;Тверская;56.2583967;34.328348;55757;
Родники;Ивановская;57.1070081;41.733141;24101;
Рославль;Смоленская;53.9479938;32.857727;45416;
Ростов-на-Дону;Ростовская;47.2357137;39.701505;1142162;
Рошаль;Московская;55.6589845;39.877533;21401;
Ртищево;Саратовская;52.2600733;43.781435;37850;
Рубцовск;Алтайский;51.5280125;81.216937;126834;
Рудня;Смоленская;54.9470149;31.092176;8908;
Руза;Московская;55.7043322;36.1925;16014;
Рузаевка;Мордовия;54.0581618;44.949677;42989;
Рыбинск;Ярославская;58.057486;38.8116968;177295;
Рыбное;Рязанская;54.734352;39.5054926;21069;
Рыльск;Курская;51.5714552;34.683303;15069;
Ряжск;Рязанская;53.7093812;40.063898;20634;
Рязань;Рязанская;54.6095418;39.712585;528599;
Саки;Крым;45.1310529;33.594106;24285;
Салават;Башкортостан;53.3860437;55.925947;148575;
Салаир;Кемеровская;54.2375895;85.805136;7088;
Салехард;Ямало-Ненецкий;66.550073;66.6028111;47910;
Сальск;Ростовская;46.4787028;41.537746;57937;
Самара;Самарская;53.203772;50.1606382;1173299;
Санкт-Петербург;Санкт-Петербург;59.9310584;30.360909;5601911;
Саранск;Мордовия;54.2000477;45.174511;314871;
Сарапул;Удмуртия;56.4770315;53.817123;91115;
Саратов;Саратовская;51.5461754;46.015412;901361;
Саров;Нижегородская;54.9342792;43.32525;93357;
Сасово;Рязанская;54.3441139;41.921044;21628;
Сатка;Челябинская;55.0474994;58.97456;42597;
Сафоново;Смоленская;55.1107281;33.237372;38403;
Саяногорск;Хакасия;53.0966188;91.416451;44872;
Саянск;Иркутская;54.1126855;102.17784;35561;
Светлогорск;Калининградская;54.9394562;20.15847;16207;
Светлоград;Ставропольский;45.3393412;42.844261;35703;
Светлый;Калининградская;54.6770382;20.136372;21114;
Светогорск;Ленинградская;61.1080747;28.854665;13784;
Свирск;Иркутская;53.0907675;103.33694;15485;
Свободный;Амурская;51.3768658;128.13472;48517;
Себеж;Псковская;56.2879589;28.463791;6246;
Севастополь;Севастополь;44.61665;33.5253671;547820;
Северобайкальск;Бурятия;55.627858;109.314916;24233;
Северодвинск;Архангельская;64.5661757;39.850598;157213;
Североморск;Мурманская;69.0690371;33.408232;43327;
Североуральск;Свердловская;60.1511403;59.954855;24428;
Северск;Томская;56.6026874;84.880539;106648;
Севск;Брянская;52.1557601;34.496548;6732;
Сегежа;Карелия;63.7397166;34.319009;23543;
Сельцо;Брянская;53.3736044;34.105965;15906;
Семёнов;Нижегородская;56.7893742;44.491333;25075;
Семикаракорск;Ростовская;47.5188084;40.810349;21719;
Семилуки;Воронежская;51.7296906;39.050559;27938;
Сенгилей;Ульяновская;53.9620652;48.790475;6407;
Серафимович;Волгоградская;49.5845332;42.734634;8633;
Сергач;Нижегородская;55.5309772;45.464937;20256;
СергиевПосад;Московская;56.3151766;38.136706;101756;
Сердобск;Пензенская;52.4559291;44.202846;30220;
Серов;Свердловская;59.6104645;60.617743;94211;
Серпухов;Московская;54.9256124;37.435937;133793;
Сертолово;Ленинградская;60.1406406;30.209158;68241;
Сибай;Башкортостан;52.7133586;58.668135;56514;
Сим;Челябинская;54.9895131;57.6852;12858;
Симферополь;Крым;44.952117;34.102417;340540;
Сковородино;Амурская;53.983631;123.940166;7057;
Скопин;Рязанская;53.8257473;39.556825;25238;
Славск;Калининградская;55.045091;21.6727057;4153;
Славянск-на-Кубани;Краснодарский;45.2605456;38.125883;62985;
Сланцы;Ленинградская;59.1178411;28.08816;34628;
Слободской;Кировская;58.7243618;50.184449;29148;
Слюдянка;Иркутская;51.6565275;103.71843;18058;
Смоленск;Смоленская;54.7903112;32.050366;316570;
Снежинск;Челябинская;56.0853067;60.732394;50619;
Снежногорск;Мурманская;69.1882343;33.245483;9942;
Собинка;Владимирская;55.9945738;40.018404;17444;
Советск;Калининградская;55.0788538;21.878706;38910;
Советск;Кировская;57.5928116;48.966234;14626;
СоветскаяГавань;Хабаровский;48.9755228;140.26535;24231;
Советский;Ханты-Мансийский;61.3708958;63.566648;31138;
Сокол;Вологодская;59.4630529;40.115514;34742;
Солигалич;Костромская;59.0778074;42.285881;5534;
Соликамск;Пермский;59.6720331;56.755766;89473;
Солнечногорск;Московская;56.190913;36.9721914;48413;
Соль-Илецк;Оренбургская;51.1569139;54.994604;26149;
Сольцы;Новгородская;58.1179301;30.309743;8449;
Сорочинск;Оренбургская;52.4208807;53.160913;28478;
Сорск;Хакасия;53.9998175;90.251212;10124;
Сортавала;Карелия;61.7064906;30.697916;14867;
Сосенский;Калужская;54.0518924;35.959211;11413;
Сосновка;Кировская;56.2545205;51.284135;8428;
Сосновоборск;Красноярский;56.123153;93.3400796;40442;
СосновыйБор;Ленинградская;59.8696729;29.085647;65367;
Сосногорск;Коми;63.5891822;53.926973;22189;
Сочи;Краснодарский;43.6028079;39.734154;466078;
Спас-Деменск;Калужская;54.4101317;34.023619;4569;
Спас-Клепики;Рязанская;55.1364612;40.181902;4743;
Спасск;Пензенская;53.9258477;43.184982;6936;
Спасск-Дальний;Приморский;44.5955717;132.83029;35732;
Спасск-Рязанский;Рязанская;54.4144567;40.378945;5796;
Среднеколымск;Якутия;67.437307;153.728674;3131;
Среднеуральск;Свердловская;56.9923773;60.473891;23344;
Ставрополь;Ставропольский;45.0390116;41.963195;547443;
СтараяКупавна;Московская;55.8065475;38.178495;22898;
СтараяРусса;Новгородская;57.9895226;31.354785;27487;
Старица;Тверская;56.5015735;34.935078;6938;
Стародуб;Брянская;52.5843535;32.757832;17687;
СтарыйКрым;Крым;45.0274234;35.086372;10470;
СтарыйОскол;Белгородская;51.2876485;37.822169;221676;
Стерлитамак;Башкортостан;53.630421;55.9308009;277410;
Стрежевой;Томская;60.7236076;77.58093;39169;
Строитель;Белгородская;50.786658;36.4820491;23780;
Струнино;Владимирская;56.3745612;38.584463;11774;
Ступино;Московская;54.8868326;38.078201;64412;
Суворов;Тульская;54.1228794;36.499645;17598;
Судак;Крым;44.850467;34.976183;17834;
Суджа;Курская;51.1912966;35.270516;5127;
Судогда;Владимирская;55.9511166;40.862939;10408;
Суздаль;Владимирская;56.4241195;40.447446;9286;
Суоярви;Карелия;62.0896773;32.374408;7190;
Сураж;Брянская;53.0145015;32.397922;11176;
Сургут;Ханты-Мансийский;61.2545849;73.396169;396443;
Суровикино;Волгоградская;48.6102216;42.852833;18227;
Сурск;Пензенская;53.0788416;45.69049;6034;
Сусуман;Магаданская;62.7804506;148.15364;4439;
Сухиничи;Калужская;54.1019535;35.338787;14806;
СухойЛог;Свердловская;56.9116454;62.038646;32748;
Сызрань;Самарская;53.1585015;48.46489;165725;
Сыктывкар;Коми;61.6641145;50.816877;220580;
Сысерть;Свердловская;56.5103018;60.824737;20634;
Сычёвка;Смоленская;55.826646;34.2753037;7544;
Сясьстрой;Ленинградская;60.1444455;32.553793;12566;
Тавда;Свердловская;58.0442892;65.256108;32749;
Таганрог;Ростовская;47.2125752;38.915965;245120;
Тайга;Кемеровская;56.0650329;85.633575;22375;
Тайшет;Иркутская;55.9321466;98.010574;34491;
Талдом;Московская;56.7308079;37.528331;17317;
Талица;Свердловская;57.0127114;63.729464;14808;
Тамбов;Тамбовская;52.7371109;41.439614;261803;
Тара;Омская;56.9012145;74.375298;26878;
Тарко-Сале;Ямало-Ненецкий;64.9120778;77.763686;19900;
Таруса;Калужская;54.7227778;37.164781;9918;
Татарск;Новосибирская;55.1936526;75.968454;23711;
Таштагол;Кемеровская;52.7591043;87.847301;21980;
Тверь;Тверская;56.8587214;35.917596;416219;
Теберда;Карачаево-Черкесия;43.4274827;41.738294;9020;
Тейково;Ивановская;56.854156;40.5341249;31305;
Темников;Мордовия;54.6287716;43.204849;6451;
Темрюк;Краснодарский;45.2756589;37.374152;41608;
Терек;Кабардино-Балкария;43.4213779;45.977292;19948;
Тимашёвск;Краснодарский;45.6093387;38.954701;51858;
Тихвин;Ленинградская;59.6440428;33.543259;55415;
Тихорецк;Краснодарский;45.8548161;40.125741;55686;
Тобольск;Тюменская;58.2227256;68.277764;100352;
Тогучин;Новосибирская;55.2380314;84.40287;20766;
Тольятти;Самарская;53.508525;49.4182196;684709;
Томари;Сахалинская;47.7613226;142.05995;4313;
Томмот;Якутия;58.9811665;126.21857;6440;
Томск;Томская;56.4884295;84.948046;556478;
Топки;Кемеровская;55.2777575;85.624329;27158;
Торжок;Тверская;57.0640794;34.897927;41116;
Торопец;Тверская;56.4977742;31.640731;11441;
Тосно;Ленинградская;59.5406601;30.877724;34066;
Тотьма;Вологодская;59.9737907;42.759137;8669;
Трёхгорный;Челябинская;54.8176511;58.445493;32463;
Троицк;Челябинская;55.4903205;37.30321;70301;
Трубчевск;Брянская;52.5801951;33.761946;13287;
Туймазы;Башкортостан;54.6003824;53.694706;68349;
Тула;Тульская;54.1921956;37.616411;473622;
Тулун;Иркутская;54.5617544;100.5793;38440;
Туран;Тыва;52.1428278;93.923021;5044;
Туринск;Свердловская;58.0524983;63.691808;16561;
Тутаев;Ярославская;57.8675746;39.533339;39643;
Тында;Амурская;55.1438334;124.74137;28625;
Тырныауз;Кабардино-Балкария;43.3818976;42.915672;22056;
Тюкалинск;Омская;55.869871;72.1922026;9894;
Тюмень;Тюменская;57.1553394;65.561863;847488;
Уварово;Тамбовская;51.9724727;42.264157;23584;
Углегорск;Сахалинская;49.0796559;142.06308;10309;
Углич;Ярославская;57.5239298;38.321903;32719;
Удачный;Якутия;66.407021;112.29778;12930;
Удомля;Тверская;57.8708994;35.006028;25950;
Ужур;Красноярский;55.3189537;89.840625;14134;
Узловая;Тульская;53.9789964;38.166683;49427;
Улан-Удэ;Бурятия;51.8335896;107.58404;437565;
Ульяновск;Ульяновская;54.3186575;48.397776;617352;
Унеча;Брянская;52.8447969;32.67219;24274;
Урай;Ханты-Мансийский;60.1254336;64.80662;41315;
Урень;Нижегородская;57.4552186;45.791054;12450;
Уржум;Кировская;57.1105973;49.99615;8448;
Урус-Мартан;Чечня;43.1310518;45.540929;63449;
Усинск;Коми;65.9940081;57.55701;32182;
Усмань;Липецкая;52.0439901;39.728567;19662;
Усолье;Пермский;59.4254685;56.68038;6619;
Усолье-Сибирское;Иркутская;52.7664236;103.63817;74762;
Уссурийск;Приморский;43.8015045;131.94049;180393;
Усть-Джегута;Карачаево-Черкесия;44.0844358;41.976676;31137;
Усть-Илимск;Иркутская;57.9845406;102.73959;79570;
Усть-Катав;Челябинская;54.9311695;58.164571;21439;
Усть-Кут;Иркутская;56.7910394;105.77686;36918;
Усть-Лабинск;Краснодарский;45.2158861;39.68826;40158;
Устюжна;Вологодская;58.8422632;36.426067;7843;
Уфа;Башкортостан;54.734791;55.9578555;1144809;
Ухта;Коми;63.5650976;53.672105;79899;
Учалы;Башкортостан;54.3089584;59.408949;36175;
Уяр;Красноярский;55.8089255;94.311546;12036;
Фатеж;Курская;52.093421;35.8568797;4691;
Феодосия;Крым;45.031933;35.382433;66293;
Фокино;Брянская;53.4617495;34.415637;12538;
Фокино;Приморский;42.9700494;132.41055;19711;
Фролово;Волгоградская;49.7660348;43.647994;35661;
Фрязино;Московская;55.9602597;38.044143;60580;
Фурманов;Ивановская;57.2504573;41.106465;29715;
Хабаровск;Хабаровский;48.4814433;135.07206;617441;
Хадыженск;Краснодарский;44.4230464;39.536681;22094;
Ханты-Мансийск;Ханты-Мансийский;61.006057;69.0312136;107473;
Харабали;Астраханская;47.4038111;47.248663;18514;
Харовск;Вологодская;59.9505556;40.206474;8389;
Хвалынск;Саратовская;52.5010192;48.09233;12042;
Хилок;Забайкальский;51.3634073;110.45903;9948;
Химки;Московская;55.8940553;37.443948;257128;
Холм;Новгородская;57.1472054;31.175418;3214;
Холмск;Сахалинская;47.0614761;142.05403;25677;
Хотьково;Московская;56.2535371;37.977229;20466;
Цивильск;Чувашия;55.8635736;47.467041;12762;
Цимлянск;Ростовская;47.6433306;42.086082;14731;
Циолковский;Амурская;51.7643275;128.12247;7194;
Чадан;Тыва;51.2846842;91.585714;9732;
Чайковский;Пермский;56.766116;54.1276713;75837;
Чапаевск;Самарская;52.9696663;49.706731;70228;
Чаплыгин;Липецкая;53.239883;39.9688535;11579;
Чебаркуль;Челябинская;54.9780451;60.36927;44693;
Чебоксары;Чувашия;56.1167663;47.262782;497807;
Чегем;Кабардино-Балкария;43.5666532;43.589658;20736;
Чекалин;Тульская;54.0984788;36.246726;935;
Челябинск;Челябинская;55.1644419;61.436843;1189525;
Чердынь;Пермский;60.4031194;56.479773;4590;
Черемхово;Иркутская;53.1400556;103.09397;53958;
Черепаново;Новосибирская;54.2214946;83.373304;19900;
Череповец;Вологодская;59.132333;37.9091811;305185;
Чёрмоз;Пермский;58.7766235;56.151809;3044;
Черноголовка;Московская;56.0097618;38.378699;19530;
Черногорск;Хакасия;53.8247092;91.322872;75745;
Чернушка;Пермский;56.5206355;56.078896;32991;
Черняховск;Калининградская;54.6312721;21.831135;36128;
Чехов;Московская;55.1526235;37.460361;89025;
Чистополь;Татарстан;55.3722381;50.643112;58815;
Чита;Забайкальский;52.0515032;113.47119;334427;
Чкаловск;Нижегородская;56.7597361;43.235015;11535;
Чудово;Новгородская;59.1211794;31.670248;14302;
Чулым;Новосибирская;55.0896062;80.970519;11034;
Чухлома;Костромская;58.7538079;42.688033;4252;
Шагонар;Тыва;51.5388375;92.912699;11772;
Шадринск;Курганская;56.0867827;63.629374;68609;
Шали;Чечня;43.1418894;45.903733;55054;
Шарыпово;Красноярский;55.5323307;89.18353;33961;
Шарья;Костромская;58.3799569;45.513932;20439;
Шахты;Ростовская;47.7086074;40.216038;226452;
Шахунья;Нижегородская;57.6734511;46.610727;17626;
Шацк;Рязанская;54.0255539;41.712258;5927;
Шебекино;Белгородская;50.4075868;36.897134;39680;
Шелехов;Иркутская;52.2075403;104.09883;41998;
Шенкурск;Архангельская;62.1060951;42.903019;4600;
Шилка;Забайкальский;51.8526624;116.03349;12046;
Шимановск;Амурская;51.9980218;127.67034;16488;
Шиханы;Саратовская;52.1173637;47.20765;5155;
Шлиссельбург;Ленинградская;59.9464719;31.034169;14131;
Шумерля;Чувашия;55.5217803;46.377119;26873;
Шумиха;Курганская;55.2283647;63.299543;16264;
Шуя;Ивановская;56.8511341;41.357534;55225;
Щёкино;Тульская;53.9990575;37.509633;55109;
Щёлкино;Крым;45.4225908;35.820615;10131;
Щёлково;Московская;55.917038;38.0369348;134211;
Щигры;Курская;51.8732372;36.912447;14927;
Щучье;Курганская;55.2093517;62.752312;8252;
Электрогорск;Московская;55.8845819;38.785644;29982;
Электросталь;Московская;55.7835532;38.455161;146403;
Электроугли;Московская;55.7156109;38.20932;17944;
Элиста;Калмыкия;46.3154883;44.279401;102583;
Энгельс;Саратовская;51.4867682;46.125135;225428;
Эртиль;Воронежская;51.8380683;40.801628;10024;
Югорск;Ханты-Мансийский;61.3138277;63.342955;38238;
Южа;Ивановская;56.5837897;42.011747;12957;
Южно-Сахалинск;Сахалинская;46.9640949;142.72847;181587;
Южно-Сухокумск;Дагестан;44.6611202;45.647324;10503;
Южноуральск;Челябинская;54.4420646;61.260628;37478;
Юрга;Кемеровская;55.7142703;84.921361;79693;
Юрьевец;Ивановская;57.3179036;43.110852;7899;
Юрьев-Польский;Владимирская;56.4990965;39.681235;17276;
Юрюзань;Челябинская;54.8529228;58.421298;10284;
Юхнов;Калужская;54.7439833;35.236071;6610;
Ядрин;Чувашия;55.9467141;46.203034;7918;
Якутск;Якутия;62.0396912;129.74221;355443;
Ялта;Крым;44.4909462;34.153268;74652;
Ялуторовск;Тюменская;56.6551336;66.311643;38853;
Янаул;Башкортостан;56.2672277;54.931977;25908;
Яранск;Кировская;57.3044418;47.885799;14284;
Яровое;Алтайский;52.9322752;78.573113;16424;
Ярославль;Ярославская;57.6260744;39.88447;577279;
Ярцево;Смоленская;55.066238;32.6880143;41452;
Ясногорск;Тульская;54.4791201;37.693187;15269;
Ясный;Оренбургская;51.0329523;59.880144;15471;
Яхрома;Московская;56.2900004;37.483549;14011;